species;State;latitude;longitude;Data
Pinus koraiensis;;45.40200;136.50600;GBIF
Pinus koraiensis;;45.41200;136.51400;GBIF
Pinus koraiensis;;45.32300;136.49300;GBIF
Pinus koraiensis;;49.03200;132.95500;GBIF
Pinus koraiensis;;49.06200;132.93400;GBIF
Pinus koraiensis;;46.74100;135.08200;GBIF
Pinus koraiensis;;49.07300;132.90800;GBIF
Pinus koraiensis;;49.07500;132.92000;GBIF
Pinus koraiensis;;49.06600;132.87800;GBIF
Pinus koraiensis;;49.05400;132.87300;GBIF
Pinus koraiensis;;49.05300;132.87000;GBIF
Pinus koraiensis;;45.0216;135.9339;Expert
Pinus koraiensis;;45.0816;135.8908;Expert
Pinus koraiensis;;45.1082;135.8708;Expert
Pinus koraiensis;;45.1307;135.8638;Expert
Pinus koraiensis;;45.1079;136.4328;Expert
Pinus koraiensis;;45.1425;136.3559;Expert
Pinus koraiensis;;45.1438;136.2936;Expert
Pinus koraiensis;;45.1584;136.2547;Expert
Pinus koraiensis;;45.1812;136.0527;Expert
Pinus koraiensis;;45.1836;136.0443;Expert
Pinus koraiensis;;45.7898;135.1229;Expert
Pinus koraiensis;;45.8133;135.2459;Expert
Pinus koraiensis;;45.7949;135.2918;Expert
Pinus koraiensis;;42.8634;133.8071;Expert
Pinus koraiensis;;43.587;133.3922;Expert
Pinus koraiensis;;44.3043;133.7124;Expert
Pinus koraiensis;;44.1162;133.9959;Expert
Pinus koraiensis;;43.7183;133.881;Expert
Pinus koraiensis;;43.7364;133.8753;Expert
Pinus koraiensis;;43.5883;134.16514;Expert
Pinus koraiensis;;43.6364;134.1888;Expert
Pinus koraiensis;;43.6576;134.3915;Expert
Pinus koraiensis;;43.5779;134.6234;Expert
Pinus koraiensis;;43.2873;131.6015;Expert
Pinus koraiensis;;43.3459;131.6079;Expert
Pinus koraiensis;;43.0815;132.6986;Expert
Pinus koraiensis;;43.0951;132.7012;Expert
Pinus koraiensis;;43.113;132.7106;Expert
Pinus koraiensis;;43.1192;132.7029;Expert
Pinus koraiensis;;43.2208;131.9946;Expert
Pinus koraiensis;;43.2207;131.9858;Expert
Pinus koraiensis;;43.2216;132.0370;Expert
Pinus koraiensis;;43.1969;132.0349;Expert
Pinus koraiensis;;43.2535;132.1589;Expert
Pinus koraiensis;;43.6338;132.4135;Expert
Pinus koraiensis;;43.6279;132.3836;Expert
Pinus koraiensis;;43.6438;132.4372;Expert
Pinus koraiensis;;43.6052;132.3923;Expert
Pinus koraiensis;;43.7189;132.5450;Expert
Pinus koraiensis;;43.101825;132.788049;VLA
Pinus koraiensis;;43.741242;135.26539;VLA
Pinus koraiensis;;43.239348;132.79499;Expert
Pinus koraiensis;;45.791325;135.645798;VLA
Pinus koraiensis;;43.663457;132.375175;VLA
Pinus koraiensis;;43.381168;131.499467;VLA
Pinus koraiensis;;43.611784;132.225784;VLA
Pinus koraiensis;;43.066681;132.683111;VLA
Pinus koraiensis;;43.571311;131.813945;VLA
Pinus koraiensis;;47.334243;137.929038;VLA
Pinus koraiensis;;48.14971;137.462924;VLA
Pinus koraiensis;;47.95684;138.178297;VLA
Pinus koraiensis;;44.348938;133.951814;VLA
Pinus koraiensis;;45.798206;135.300731;VLA
Pinus koraiensis;;47.185385;138.615219;VLA
Pinus koraiensis;;47.003782;138.541119;VLA
Pinus koraiensis;;43.116767;131.50548;VLA
Pinus koraiensis;;49.238531;131.614768;VLA
Pinus koraiensis;;47.137464;136.697574;VLA
Pinus koraiensis;;50.732019;137.362973;VLA
Pinus koraiensis;;48.589635;130.632165;VLA
Pinus koraiensis;;46.776314;136.87018;VLA
Pinus koraiensis;;49.863157;136.76248;VLA
Pinus koraiensis;;49.358326;132.006418;VLA
Pinus koraiensis;;49.794933;139.892727;VLA
Pinus koraiensis;;44.189299;135.007531;VLA
Pinus koraiensis;;43.324674;131.322411;VLA
Pinus koraiensis;;47.732929;136.634289;VLA
Pinus koraiensis;;50.636467;137.462564;VLA
Pinus koraiensis;;49.85816;136.951608;VLA
Pinus koraiensis;;50.777314;137.498222;VLA
Pinus koraiensis;;50.718838;137.534389;VLA
Pinus koraiensis;;50.896446;137.739002;VLA
Pinus koraiensis;;50.28504583;134.7075967;VBGI
Pinus koraiensis;;43.21396222;132.0077739;VBGI
Pinus koraiensis;;43.22184346;132.0029674;VBGI
Pinus koraiensis;;48.594696;130.605392;VBGI
Pinus koraiensis;;43.40653423;132.3723297;VBGI
Pinus koraiensis;;43.214763;132.5960493;VBGI
Pinus koraiensis;;43.16036725;132.8009382;VBGI
Pinus koraiensis;;43.214763;132.5960493;VBGI
Pinus koraiensis;;43.16149419;132.7983633;VBGI
Pinus koraiensis;;43.16258981;132.8017536;VBGI
Pinus koraiensis;;43.5590929;134.2546402;VBGI
Pinus koraiensis;;43.15986638;132.8013674;VBGI
Pinus koraiensis;;43.16240199;132.8003803;VBGI
Pinus koraiensis;;43.16233938;132.8017536;VBGI
Pinus koraiensis;;43.57489827;132.5010147;VBGI
Pinus koraiensis;;43.36016912;132.6414744;VBGI
Pinus koraiensis;;43.16083681;132.8009811;VBGI
Pinus koraiensis;;43.130391;133.9285749;VBGI
Pinus koraiensis;;43.130391;133.9285749;VBGI
Pinus koraiensis;;43.04049146;134.1691499;VBGI
Pinus koraiensis;;43.2941166;134.2326186;VBGI
Pinus koraiensis;;43.07413753;134.1839986;VBGI
Pinus koraiensis;;43.130391;133.9285749;VBGI
Pinus koraiensis;;43.130391;133.9285749;VBGI
Pinus koraiensis;;43.130391;133.9285749;VBGI
Pinus koraiensis;;43.130391;133.9285749;VBGI
Pinus koraiensis;;43.130391;133.9285749;VBGI
Pinus koraiensis;;43.45686908;131.7609977;VBGI
Pinus koraiensis;;43.45817745;131.7436599;VBGI
Pinus koraiensis;;42.82765335;132.9940269;VBGI
Pinus koraiensis;;43.17520758;132.9272172;VBGI
Pinus koraiensis;;42.82714977;132.9932974;VBGI
Pinus koraiensis;;42.82800744;132.9925946;VBGI
Pinus koraiensis;;43.2239726;131.9919421;VBGI
Pinus koraiensis;;43.19573457;132.1097312;VBGI
Pinus koraiensis;;43.2239726;131.9919421;VBGI
Pinus koraiensis;;43.25272161;132.1118304;VBGI
Pinus koraiensis;;43.3696608;132.1724749;VBGI
Pinus koraiensis;;43.60756683;132.5092881;VBGI
Pinus koraiensis;;43.39148982;131.4894987;VBGI
